iter	Passed	Remaining
964	5799	210
965	5805	204
966	5811	198
967	5817	192
968	5823	186
969	5829	180
970	5835	174
971	5841	168
972	5847	162
973	5853	156
974	5858	150
975	5863	144
976	5869	138
977	5874	132
978	5880	126
979	5885	120
980	5890	114
981	5896	108
982	5902	102
983	5908	96
984	5913	90
985	5919	84
986	5924	78
987	5930	72
988	5935	66
989	5941	60
990	5946	54
991	5951	47
992	5957	41
993	5963	35
994	5968	29
995	5974	23
996	5979	17
997	5985	11
998	5991	5
999	5996	0
